chembl_id,primary_drug,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,black_box_warning,hepatotoxicity,nephrotoxicity,cardiotoxicity,bioactivity_count,tox_data_sources,data_source,created_at,last_updated
CHEMBL30368,ChEMBL_CHEMBL30368,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990948,2025-09-05 06:28:14.990948
CHEMBL31149,ChEMBL_CHEMBL31149,,high,,,,high,,medium,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990974,2025-09-05 06:28:14.990975
CHEMBL31096,ChEMBL_CHEMBL31096,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.991001,2025-09-05 06:28:14.991001
CHEMBL29714,ChEMBL_CHEMBL29714,,high,,,,high,,high,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.991026,2025-09-05 06:28:14.991027
CHEMBL281293,ChEMBL_CHEMBL281293,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.991053,2025-09-05 06:28:14.991053
CHEMBL30423,ChEMBL_CHEMBL30423,,unknown,,,,unknown,,unknown,unknown,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.991079,2025-09-05 06:28:14.991079
CHEMBL30367,ChEMBL_CHEMBL30367,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.991104,2025-09-05 06:28:14.991104
CHEMBL31089,ChEMBL_CHEMBL31089,,high,,,,high,,high,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.991129,2025-09-05 06:28:14.991129
CHEMBL30570,ChEMBL_CHEMBL30570,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.991157,2025-09-05 06:28:14.991157
CHEMBL31018,ChEMBL_CHEMBL31018,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.991183,2025-09-05 06:28:14.991183
CHEMBL31172,ChEMBL_CHEMBL31172,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.991209,2025-09-05 06:28:14.991209
CHEMBL31173,ChEMBL_CHEMBL31173,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.991235,2025-09-05 06:28:14.991235
